fips,total,total__diabetic__poor_control,actual_diabetic__poor_control_rate,expected_diabetic__poor_control_rate,actual_minus_expected__diabetic__poor_control
370630020191,511,3,0.005870841,0.0177209,-0.011850057
370630020201,1081,8,0.007400555,0.0151618,-0.0077612
370630018061,1085,23,0.021198157,0.0152807,0.005917421
370630020241,2526,27,0.010688836,0.0165887,-0.005899878
370630020272,2551,51,0.01999216,0.023168,-0.003175799
370630018015,492,8,0.016260163,0.0177296,-0.001469405
370630021002,1293,22,0.017014695,0.0156581,0.001356623
370630009001,521,36,0.069097889,0.0359431,0.033154794
370630019002,1077,18,0.016713092,0.014911,0.001802134
370630021001,1651,23,0.013930951,0.0150575,-0.001126521
370630005004,638,33,0.051724138,0.0323568,0.019367343
370630015022,814,4,0.004914005,0.0131711,-0.008257124
370630014002,933,49,0.052518757,0.0355843,0.016934489
370630020073,551,14,0.025408348,0.0251207,0.000287684
370630020192,545,6,0.011009174,0.0131918,-0.002182594
370630020261,1279,58,0.045347928,0.0323681,0.012979842
370630023002,277,12,0.0433213,0.0325478,0.010773476
370630017074,1230,21,0.017073171,0.0141924,0.002880805
370630017092,695,38,0.054676259,0.0356063,0.019069975
370630019001,1505,27,0.017940199,0.0127776,0.005162645
370630016011,740,12,0.016216216,0.0170231,-0.000806891
370630020072,1430,26,0.018181818,0.0205538,-0.002372004
370630018082,3759,72,0.01915403,0.0221578,-0.003003745
370630020281,1364,27,0.019794721,0.0206453,-0.000850603
370630004013,513,7,0.013645224,0.0139208,-0.000275573
370630020171,1667,10,0.0059988,0.0131709,-0.007172112
370630003012,425,20,0.047058824,0.026301,0.02075787
370630003023,1027,14,0.013631938,0.018639,-0.005007061
370630018011,1226,40,0.032626427,0.0286969,0.003929559
370630016032,1909,28,0.014667365,0.0189142,-0.004246856
370630003011,627,21,0.033492823,0.0269517,0.006541163
370630016042,1824,17,0.009320175,0.0142468,-0.004926606
370630009002,671,43,0.064083458,0.0331449,0.030938548
370630003021,529,4,0.007561437,0.0147587,-0.007197268
370630018014,857,36,0.042007001,0.0277883,0.014218696
370630014001,564,29,0.05141844,0.0355079,0.015910533
370630002003,606,11,0.018151815,0.0181213,3.05E-05
370630020182,1565,26,0.016613419,0.01821,-0.001596598
370630002002,634,21,0.033123028,0.0290465,0.004076528
370630003022,628,17,0.027070064,0.0213013,0.005768785
370630004011,665,14,0.021052632,0.0168867,0.004165915
370630020082,1270,9,0.007086614,0.0135019,-0.006415276
370630013011,906,45,0.049668874,0.0342587,0.015410218
370630016012,1909,45,0.023572551,0.0216937,0.001878871
370630001012,1229,70,0.056956876,0.0314368,0.025520056
370630016041,1360,22,0.016176471,0.0141507,0.002025801
370630003013,502,8,0.015936255,0.0173453,-0.001409049
370630016034,1166,20,0.017152659,0.0134453,0.003707355
