,GEO_ID,B03002_001E,B03002_003E,B03002_004E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B03002_010E,B03002_012E
"Block Group 1, Census Tract 20.27, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002027> block group:1",1500000US370630020271,1201,521,387,0,177,0,16,51,0,49
"Block Group 1, Census Tract 18.06, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001806> block group:1",1500000US370630018061,2118,1535,0,0,0,0,0,0,0,583
"Block Group 2, Census Tract 18.06, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001806> block group:2",1500000US370630018062,4688,1064,3392,24,41,0,0,55,0,112
"Block Group 1, Census Tract 20.21, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002021> block group:1",1500000US370630020211,3173,1769,672,0,460,0,16,32,0,224
"Block Group 2, Census Tract 20.21, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002021> block group:2",1500000US370630020212,1237,730,428,0,12,0,0,0,0,67
"Block Group 1, Census Tract 20.22, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002022> block group:1",1500000US370630020221,2366,674,1438,0,48,15,0,43,0,148
"Block Group 2, Census Tract 20.22, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002022> block group:2",1500000US370630020222,2272,1608,373,0,165,0,0,126,24,0
"Block Group 1, Census Tract 20.23, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002023> block group:1",1500000US370630020231,1412,923,206,0,22,0,0,16,0,245
"Block Group 2, Census Tract 20.23, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002023> block group:2",1500000US370630020232,1785,1145,282,0,306,0,0,30,0,22
"Block Group 1, Census Tract 20.24, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002024> block group:1",1500000US370630020241,4247,2806,848,0,421,0,0,33,0,139
"Block Group 2, Census Tract 20.24, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002024> block group:2",1500000US370630020242,1169,771,208,0,0,0,0,15,0,175
