,GEO_ID,B25008_001E,B25008_003E,PerR
"Block Group 1, Census Tract 20.27, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002027> block group:1",1500000US370630020271,1201,163,0.1357202331390508
"Block Group 1, Census Tract 18.06, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001806> block group:1",1500000US370630018061,2118,544,0.25684608120868746
"Block Group 2, Census Tract 18.06, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001806> block group:2",1500000US370630018062,4672,910,0.19477739726027396
"Block Group 1, Census Tract 20.21, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002021> block group:1",1500000US370630020211,3173,2111,0.6653009769933816
"Block Group 2, Census Tract 20.21, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002021> block group:2",1500000US370630020212,1231,327,0.26563769293257516
"Block Group 1, Census Tract 20.22, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002022> block group:1",1500000US370630020221,2366,1856,0.7844463229078613
"Block Group 2, Census Tract 20.22, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002022> block group:2",1500000US370630020222,2262,753,0.3328912466843501
"Block Group 1, Census Tract 20.23, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002023> block group:1",1500000US370630020231,1412,748,0.5297450424929179
"Block Group 2, Census Tract 20.23, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002023> block group:2",1500000US370630020232,1638,605,0.3693528693528694
"Block Group 1, Census Tract 20.24, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002024> block group:1",1500000US370630020241,4247,832,0.19590299034612668
"Block Group 2, Census Tract 20.24, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002024> block group:2",1500000US370630020242,1169,420,0.3592814371257485
"Block Group 3, Census Tract 20.24, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002024> block group:3",1500000US370630020243,1059,376,0.3550519357884797
"Block Group 1, Census Tract 20.25, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002025> block group:1",1500000US370630020251,2758,357,0.12944162436548223
"Block Group 5, Census Tract 17.07, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001707> block group:5",1500000US370630017075,1577,673,0.42675967025998734
"Block Group 3, Census Tract 20.18, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002018> block group:3",1500000US370630020183,3191,468,0.14666248824819805
"Block Group 4, Census Tract 17.07, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001707> block group:4",1500000US370630017074,1902,168,0.08832807570977919
"Block Group 2, Census Tract 20.16, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002016> block group:2",1500000US370630020162,2618,2329,0.8896103896103896
"Block Group 1, Census Tract 18.07, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001807> block group:1",1500000US370630018071,3311,1294,0.3908184838417397
"Block Group 2, Census Tract 18.07, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001807> block group:2",1500000US370630018072,3764,766,0.2035069075451647
"Block Group 3, Census Tract 18.07, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001807> block group:3",1500000US370630018073,2404,373,0.15515806988352746
"Block Group 1, Census Tract 18.08, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001808> block group:1",1500000US370630018081,2404,60,0.024958402662229616
"Block Group 2, Census Tract 18.08, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001808> block group:2",1500000US370630018082,6328,744,0.11757269279393173
"Block Group 2, Census Tract 18.09, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001809> block group:2",1500000US370630018092,2763,873,0.31596091205211724
"Block Group 1, Census Tract 18.09, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001809> block group:1",1500000US370630018091,3152,2203,0.6989213197969543
"Block Group 2, Census Tract 20.25, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002025> block group:2",1500000US370630020252,2841,1187,0.4178106300598381
"Block Group 3, Census Tract 20.25, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002025> block group:3",1500000US370630020253,1419,280,0.19732205778717407
"Block Group 1, Census Tract 20.28, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002028> block group:1",1500000US370630020281,2699,520,0.19266394961096703
"Block Group 2, Census Tract 20.28, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:002028> block group:2",1500000US370630020282,1774,1626,0.9165727170236753
"Block Group 4, Census Tract 10.02, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001002> block group:4",1500000US370630010024,1752,1054,0.6015981735159818
"Block Group 3, Census Tract 10.02, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001002> block group:3",1500000US370630010023,742,657,0.8854447439353099
"Block Group 2, Census Tract 6, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:000600> block group:2",1500000US370630006002,2317,1456,0.6283987915407855
"Block Group 1, Census Tract 6, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:000600> block group:1",1500000US370630006001,2554,1605,0.6284259984338293
"Block Group 1, Census Tract 13.04, Durham County, North Carolina: Summary level: 150, state:37> county:063> tract:001304> block group:1",1500000US370630013041,3270,2772,0.8477064220183487
