id,fips,Diabetes_Rate,Diabetes_Rate_White,Diabetes_Rate_Black,Diabetes_Rate_Asian,Diabetes_Rate_Hispanic,Grocery_Store_Proximity,Convenience_Store_Proximity,SNAP_Households,Income_Spent_on_Food,Housing_in_Poor_Repair,Drug_Arrests,Tree_Coverage,Air_Polluter_Proximity,Ejectments_per_Square_Mile,Cost_Burdened_Households,Sidewalks,Parks_Proximity,Traffic_Exposure,Bike_Commuters,Residents_Below_Poverty_Level,Service_Industry_Jobs,Racial_Income_Disparity,Clinic_Proximity,People_without_Insurance,Bus_Stop_Proximity,Pharmacy_Proximity,Childcare_Centers_per_Square_Mile,Healthcare_Workers,Total_Residents,Pct_Black,Pct_Hispanic,Pct_Non_Hispanic_White,Pct_Asian,Pct_Youth,Pct_Over_65,Patients_per_Acre,Dwellings_per_Acre
1.01,37063000101,0.174757282,0.111842105,0.221366699,0.4375,0.130612245,0.259398496,0.242857143,0.249,,0.004559271,31.16044329,0.613781024,0.257894737,84.3673842,0.339640492,0.272461559,0.230075188,0.134672629,0.011299435,27.1,0.205963939,1.835009965,0,20.6,0.960902256,0.027819549,6.080086497,0.392510402,3026,0.527918782,0.18464467,0.266497462,0.015862944,0.263324873,0.092956853,2.562859586,1.579519578
1.02,37063000102,0.143896524,0.105313093,0.193511008,0.195121951,0.143157895,0.170483461,0.463613232,0.149,,0.002048131,32.2520654,0.54856976,0.125699746,190.9457706,0.443653618,0.334010543,0.560305344,0.149916792,0.009446114,33.5,0.209321012,1.529761396,0.389821883,32.7,0.728244275,0.205089059,1.290082616,0.281639213,4506,0.354134509,0.285115766,0.336273429,0.015876516,0.242998897,0.113340684,2.780853292,1.997943956
2,37063000200,0.122193211,0.067567568,0.193229901,0,0.14229249,0,0.464216634,0.128,,0.013530928,12.85841923,0.550348911,0.292714378,246.9015038,0.359718558,0.488351933,0.698903933,0.183477534,0.072208738,18.4,0.274135876,1.57157762,0,32.1,0.947130883,0,1.714455898,0.306317044,3239,0.390699253,0.198574338,0.389680923,0.010862186,0.194161575,0.065512559,2.807659912,2.077614753
3.01,37063000301,0.124195624,0.065306122,0.206319703,0.058823529,0.198895028,0.298878205,0.741185897,0.179,,0.004058442,55.77648093,0.454906094,0.239583333,280.7631062,0.482397716,0.878490093,0.694711538,0.248056191,0.009516837,25.4,0.183599419,1.469591605,0.112179487,23.8,0.979166667,0.195512821,1.859216031,0.418722787,2578,0.394968051,0.207268371,0.357428115,0.029952077,0.216054313,0.055511182,4.923439141,3.537393235
3.02,37063000302,0.073684211,0.048813559,0.175487465,0.070175439,0.112149533,0,0.259921744,0.099,,0.003318584,13.53535445,0.69506089,0.377305757,200.0383403,0.349014622,0.531566638,0.870318614,0.056604576,0.0615,16.8,0.157416268,1.334545048,0,17.3,0.846841811,0,1.503928273,0.438755981,3593,0.152656159,0.201984822,0.600700525,0.034442499,0.199941623,0.061879743,6.166620161,4.204300102
4.01,37063000401,0.064692982,0.050403226,0.184397163,0.071428571,0.126436782,0.318435754,0.295291301,0.034,,0.012882448,22.81296005,0.52198961,0.185953711,20.53318845,0.275071633,0.36051785,0.770151636,0.201945502,0.053519488,6.5,0.091324201,1.056817326,0.001596169,7.1,0.541101357,0.211492418,3.041728007,0.422374429,3035,0.091161316,0.076099881,0.782005549,0.044391597,0.199365834,0.102655569,2.368230435,1.490403182
4.02,37063000402,0.041847826,0.03692066,0.111940299,0.013888889,0.109090909,0.816704289,0.911060948,0.018,,0.004968944,19.89254348,0.392043176,0.538148984,50.63955607,0.50364204,0.779884509,0.177426637,0.199014902,0.08428446,20.6,0.087734242,1.060928777,0.568848758,2.5,0.94537246,0.729119639,7.233652175,0.429301533,2054,0.084564442,0.151808456,0.693835965,0.065206317,0.109526235,0.050433011,4.614661024,6.259322823
5,37063000500,0.129277567,0.050578035,0.208633094,0,0.143564356,0.306971056,0.498573176,0.218,,0.006469875,31.22073241,0.540966027,0.034243783,181.5582652,0.536671368,0.557764019,0.618018752,0.078671724,0.049467752,43,0.273442226,1.475474945,0.258866694,23.4,0.964533225,0,4.62529369,0.391409558,3770,0.462985585,0.207671634,0.25018324,0.071341314,0.18739311,0.083312973,4.791942876,4.432366469
6,37063000600,0.090703589,0.047123288,0.163098879,0.074468085,0.119565217,0.159799769,0.64574509,0.2,,0.004250386,6.123777403,0.699896403,0.206391991,141.9404183,0.452606635,0.207690395,0.499244713,0.095975413,0.029946164,27.9,0.152638611,1.66086927,0.291490181,23.2,0.770119369,0,2.161333201,0.298931196,6017,0.257871354,0.272551671,0.429206104,0.032451227,0.23314661,0.094069925,2.163789494,1.46185258
7,37063000700,0.09569161,0.044843049,0.212443096,0,0.1,0.282638571,0.148419606,0.198,,0.002336449,23.5774291,0.627560663,0.446174989,64.65375438,0.344327177,0.501477532,0.827868852,0.074058828,0.0243309,20.8,0.182363527,1.4534731,0.020613834,11.2,0.798900596,0.154832799,3.802811145,0.367126575,3731,0.342756184,0.047349823,0.577738516,0.025088339,0.183392226,0.130388693,2.466122711,2.594479941
9,37063000900,0.204697987,0.04,0.228915663,,0.20657277,0.003329634,0.478357381,0.424,,0.063583815,75.76451835,0.495876913,0.490566038,356.1233413,0.624390244,0.411654958,1,0.077111547,0,36.1,0.344282238,1.778898603,0,33.3,0.974472808,0,5.05096789,0.159367397,1999,0.675659472,0.273381295,0.037170264,0.005995204,0.285971223,0.082134293,5.197432495,3.55572261
