,GEO_ID,B25070_001E,B25070_007E,B25070_008E,B25070_009E,B25070_010E
"Census Tract 6, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000600",1400000US37063000600,1365,228,157,104,238
"Census Tract 13.04, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001304",1400000US37063001304,953,86,85,102,259
"Census Tract 17.10, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001710",1400000US37063001710,829,147,90,33,199
"Census Tract 17.11, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001711",1400000US37063001711,1685,141,105,107,405
"Census Tract 18.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001801",1400000US37063001801,422,29,24,40,143
"Census Tract 19, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001900",1400000US37063001900,122,0,8,16,19
"Census Tract 20.07, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002007",1400000US37063002007,549,0,0,48,132
"Census Tract 1.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000101",1400000US37063000101,508,57,45,8,175
"Census Tract 1.02, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000102",1400000US37063000102,1202,52,138,187,295
"Census Tract 18.02, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001802",1400000US37063001802,1221,58,83,89,387
"Census Tract 20.15, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002015",1400000US37063002015,1918,94,259,165,447
"Census Tract 15.02, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001502",1400000US37063001502,2956,355,185,275,772
"Census Tract 5, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000500",1400000US37063000500,1221,125,37,131,393
"Census Tract 11, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001100",1400000US37063001100,1204,69,107,79,204
"Census Tract 14, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001400",1400000US37063001400,733,107,10,63,120
"Census Tract 17.08, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001708",1400000US37063001708,607,50,56,27,43
"Census Tract 20.09, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002009",1400000US37063002009,609,47,34,68,187
"Census Tract 2, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000200",1400000US37063000200,732,48,58,65,155
"Census Tract 16.04, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001604",1400000US37063001604,186,13,0,0,27
"Census Tract 17.06, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001706",1400000US37063001706,1472,95,74,147,233
"Census Tract 17.07, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001707",1400000US37063001707,888,19,28,97,160
"Census Tract 20.16, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002016",1400000US37063002016,2363,307,110,175,595
"Census Tract 10.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001001",1400000US37063001001,978,79,33,92,312
"Census Tract 10.02, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001002",1400000US37063001002,1681,98,69,117,577
"Census Tract 13.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001301",1400000US37063001301,361,29,21,33,98
"Census Tract 13.03, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001303",1400000US37063001303,504,72,27,46,190
"Census Tract 15.03, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001503",1400000US37063001503,0,0,0,0,0
"Census Tract 16.03, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001603",1400000US37063001603,270,32,0,62,18
"Census Tract 17.05, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001705",1400000US37063001705,1098,84,57,159,168
"Census Tract 4.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000401",1400000US37063000401,301,30,42,9,27
"Census Tract 7, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000700",1400000US37063000700,944,83,0,69,225
"Census Tract 17.09, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001709",1400000US37063001709,2000,149,109,211,685
"Census Tract 20.08, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002008",1400000US37063002008,61,4,13,0,13
"Census Tract 20.13, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002013",1400000US37063002013,419,64,0,29,56
"Census Tract 3.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000301",1400000US37063000301,837,69,20,80,221
"Census Tract 3.02, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000302",1400000US37063000302,781,29,64,70,158
"Census Tract 15.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001501",1400000US37063001501,26,0,0,0,22
"Census Tract 20.17, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002017",1400000US37063002017,1424,85,85,16,561
"Census Tract 21, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002100",1400000US37063002100,180,0,0,0,54
"Census Tract 20.18, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002018",1400000US37063002018,1761,131,128,101,432
"Census Tract 18.07, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001807",1400000US37063001807,733,33,18,0,287
"Census Tract 16.01, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001601",1400000US37063001601,184,0,0,0,34
"Census Tract 9, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000900",1400000US37063000900,573,28,0,113,188
"Census Tract 4.02, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:000402",1400000US37063000402,813,89,97,59,200
"Census Tract 18.08, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001808",1400000US37063001808,350,12,0,9,45
"Census Tract 18.09, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001809",1400000US37063001809,1584,342,74,146,182
"Census Tract 20.19, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002019",1400000US37063002019,1114,157,35,10,202
"Census Tract 22, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002200",1400000US37063002200,709,35,47,16,179
"Census Tract 20.20, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002020",1400000US37063002020,170,0,0,0,50
"Census Tract 20.26, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002026",1400000US37063002026,1733,177,94,77,561
"Census Tract 20.27, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002027",1400000US37063002027,2962,317,272,111,811
"Census Tract 18.06, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:001806",1400000US37063001806,397,0,22,109,141
"Census Tract 20.21, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002021",1400000US37063002021,1275,70,75,139,154
"Census Tract 20.22, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002022",1400000US37063002022,1466,126,74,173,122
"Census Tract 20.23, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002023",1400000US37063002023,756,86,47,36,55
"Census Tract 20.24, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002024",1400000US37063002024,817,11,20,0,222
"Census Tract 20.25, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002025",1400000US37063002025,664,0,22,43,78
"Census Tract 20.28, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002028",1400000US37063002028,2346,257,47,164,149
"Census Tract 23, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:002300",1400000US37063002300,251,48,0,0,120
"Census Tract 9801, Durham County, North Carolina: Summary level: 140, state:37> county:063> tract:980100",1400000US37063980100,0,0,0,0,0
